point_mutations	transitions	transversions	TiTv_ratio	weighted_score	cases
20890	16085	4805	3.35	31028.5500000019	MF598664.1|Camelus dromedarius|United Arab Emirates|Mar-2015
21088	16291	4797	3.40	31209.6700000019	MF598666.1|Camelus dromedarius|United Arab Emirates|Mar-2015
21178	16387	4791	3.42	31287.0100000019	MF598633.1|Camelus dromedarius|United Arab Emirates|Mar-2015,MF598692.1|Camelus dromedarius|United Arab Emirates|Mar-2015,MF598662.1|Camelus dromedarius|United Arab Emirates|Mar-2015
21181	16320	4861	3.36	31437.7100000019	KT368833.1|camel|Saudi Arabia|Dec-2014
21207	16178	5029	3.22	31818.190000002	MF598686.1|Camelus dromedarius|United Arab Emirates|Mar-2015
21326	16253	5073	3.20	32030.030000002	MF598603.1|Camelus dromedarius|United Arab Emirates|Mar-2015
21568	16395	5173	3.17	32483.0300000021	MF598684.1|Camelus dromedarius|United Arab Emirates|Mar-2015,MF598685.1|Camelus dromedarius|United Arab Emirates|Mar-2015
21572	16781	4791	3.50	31681.0100000019	MF598693.1|Camelus dromedarius|United Arab Emirates|Mar-2015
21574	16387	5187	3.16	32518.5700000021	MF598691.1|Camelus dromedarius|United Arab Emirates|Mar-2015
21581	16702	4879	3.42	31875.6900000019	MF598611.1|Camelus dromedarius|United Arab Emirates|Mar-2015
21586	16413	5173	3.17	32501.0300000021	MF598657.1|Camelus dromedarius|United Arab Emirates|Mar-2015
21668	16877	4791	3.52	31777.0100000019	MF598680.1|Camelus dromedarius|United Arab Emirates|Mar-2015
21798	16469	5329	3.09	33042.1900000021	KT806054.1|Homo sapiens|Saudi Arabia|13-Feb-2015
21885	16286	5599	2.91	33698.8900000023	KT806049.1|Homo sapiens|Saudi Arabia|15-Feb-2015
21949	16816	5133	3.28	32779.6300000021	MF598698.1|Camelus dromedarius|United Arab Emirates|Mar-2015
22063	16748	5315	3.15	33277.6500000021	KT368839.1|camel|Saudi Arabia|Dec-2014,KT368837.1|camel|Saudi Arabia|Dec-2014,KT368848.1|camel|Saudi Arabia|Nov-2014,KT368846.1|camel|Saudi Arabia|Nov-2014,KT368841.1|camel|Saudi Arabia|Dec-2014,KT368840.1|camel|Saudi Arabia|Dec-2014,KT368835.1|camel|Saudi Arabia|Dec-2014
22074	17277	4797	3.60	32195.6700000019	MF598613.1|Camelus dromedarius|United Arab Emirates|Mar-2015
22106	16737	5369	3.12	33434.5900000022	MF598607.1|Camelus dromedarius|United Arab Emirates|Mar-2015
22168	16693	5475	3.05	33720.2500000022	MF598595.1|Camelus dromedarius|United Arab Emirates|Mar-2015
22190	16861	5329	3.16	33434.1900000022	KT806044.1|Homo sapiens|Saudi Arabia|09-Feb-2015
22358	17567	4791	3.67	32467.0100000019	MF598612.1|Camelus dromedarius|United Arab Emirates|Mar-2015
22389	17552	4837	3.63	32595.0700000019	MF598615.1|Camelus dromedarius|United Arab Emirates|Mar-2015
22406	16967	5439	3.12	33882.2900000022	MF598697.1|Camelus dromedarius|United Arab Emirates|Mar-2015
22412	17263	5149	3.35	33276.3900000021	MF598594.1|Camelus dromedarius|United Arab Emirates|Mar-2015
22496	17551	4945	3.55	32929.950000002	MF598644.1|Camelus dromedarius|United Arab Emirates|Mar-2015
22556	17079	5477	3.12	34112.4700000022	MF598646.1|Camelus dromedarius|United Arab Emirates|Mar-2015
22730	17667	5063	3.49	33412.930000002	MF598627.1|Camelus dromedarius|United Arab Emirates|Mar-2015
22732	17159	5573	3.08	34491.0300000023	MF598694.1|Camelus dromedarius|United Arab Emirates|Mar-2015
22738	18197	4541	4.01	32319.5100000018	KT368870.1|camel|Saudi Arabia|Mar-2015
22760	17969	4791	3.75	32869.0100000019	MF598618.1|Camelus dromedarius|United Arab Emirates|Mar-2015
22844	17529	5315	3.30	34058.6500000022	KT368836.1|camel|Saudi Arabia|Dec-2014,KT368838.1|camel|Saudi Arabia|Dec-2014
